BlockName,Monitors,Facilitators,Participants
AGAR,2,11,62
AJAIGARH,3,25,122
ALIRAJPUR,2,23,98
ALOT,2,21,87
AMARPATAN,0,18,57
AMARPUR,0,8,30
AMARWADA,3,15,70
AMBAH,5,19,78
AMLA,0,19,121
ANUPPUR,1,17,61
ARON,5,8,49
ASHOKNAGAR,3,23,124
ATER,0,22,100
ATHNER,0,13,45
BABAI,0,11,95
BADAMALAHARA,1,19,100
BADARWAS,0,8,43
BADI,1,14,95
BADNAVAR,0,16,66
BADWAHA,7,13,60
BADWARA,1,14,102
BAGH,3,16,72
BAHORIBAND,0,15,62
BAIHAR,0,16,81
BAJAG,0,5,23
BAJNA,1,23,135
BALADI,1,3,20
BALAGHAT,1,14,109
BALDEWGARH,1,16,66
BAMORI,3,11,54
BANDA,1,12,33
BANKHEDI,3,13,49
BARGHAT,2,10,89
BARIGARH,0,7,68
BARNAGAR,2,14,77
BAROD,4,14,59
BARWANI,4,20,132
BASODA,0,22,106
BATIYAGARH,1,14,63
BEEJADANDI,0,11,59
BEENA,0,1,1
BEGAMGANJ,6,16,64
BEOHARI,0,22,83
BERASIA,1,23,120
BETUL,0,18,173
BHABARA,3,17,52
BHAGWANPURA,0,2,11
BHAINSDEHI,1,16,93
BHANDER,4,11,75
BHANPURA,1,12,75
BHIKANGAON,2,16,42
BHIMPUR,0,18,98
BHIND,2,29,179
BHITARWAR,0,15,77
BIAORA,1,15,84
BICHHIA,1,23,125
BICHHUA,0,10,56
BIJAWAR,1,11,62
BIRSA,0,18,66
BUDHANI,0,0,2
BURHANPUR,2,21,98
BURHAR,4,23,58
BUXWAHA,1,9,38
CHACHODA,1,17,78
CHANDERI,4,12,60
CHAWARPATHA,1,15,64
CHHAIGAONMAKHAN,5,9,48
CHHAPARA,11,10,79
CHHINDWARA,4,21,99
CHICHLI,1,15,62
CHICHOLI,2,8,66
CHITARANGI,0,21,76
CHOURAI,3,15,51
DABRA,0,21,133
DAHI,0,16,54
DAMOH,0,16,72
DATIA,6,23,132
DEORI,0,8,38
DEOSAR,1,18,103
DEPALPUR,0,14,69
DHANORA,2,10,43
DHAR,1,11,41
DHARAMPURI,0,16,66
DHEEMAR KHEDA,1,14,46
DINDORI,0,16,75
GAIRATGANJ,0,11,64
GANDHWANI,3,16,48
GANGEO,0,12,32
GAROTH,6,23,99
GHANSORE,0,18,80
GHATIGAON,0,12,94
GHATTIA,1,10,64
GHORADONGRI,0,18,111
GHUGHRI,0,9,32
GOGAWAN,5,9,31
GOHAD,1,19,107
GOHPARU,5,16,33
GOTEGAON (SHRIDHAM),1,17,106
GUNA,3,15,138
GUNOUR,4,23,105
GYARASPUR,0,13,65
HANUMANA,0,11,49
HARDA,2,16,94
HARRAI,0,17,103
HARSUD,2,7,44
HATTA,2,8,40
HOSHANGABAD,4,12,85
ICHHAWAR,0,0,1
INDORE (URBAN-1),1,11,59
INDORE (URBAN-2),4,7,45
INDORE RURAL,1,18,122
ISAGARH,5,19,86
ISHANAGAAR,9,14,102
JABALPUR (RURAL),3,11,64
JABALPUR (URBAN-1),1,2,15
JABALPUR (URBAN-2),1,7,22
JABERA,0,12,61
JAISINAGAR,1,13,51
JAISINGHNAGAR,2,20,67
JAITHARI,8,21,94
JAORA,1,19,120
JATARA,0,21,74
JAWA,0,15,41
JAWAD,2,20,111
JHABUA,0,20,105
JHIRNIYA,1,14,29
JOBAT,2,16,57
JOURA,4,13,120
JUNNARDEO,0,20,137
KAILARAS,6,13,113
KALAPIPAL,2,18,89
KARAHAL,6,19,46
KARAIRA,1,14,56
KARANJIA,0,3,27
KARELI,0,10,97
KARKELI,0,35,107
KASRAWAD,6,23,89
KATANGI,0,17,84
KATNI,4,14,99
KATTHIWARA,1,11,26
KEOLARI,1,16,71
KESLA,0,10,102
KESLI,0,6,29
KHACHROD,0,21,124
KHAIRLANJI,0,11,64
KHAKNAR,0,11,49
KHALWA,1,14,46
KHANDWA,1,16,82
KHANIYADHANA,0,17,45
KHARGONE,5,13,39
KHATEGAON,0,0,1
KHILCHIPUR,0,21,73
KHIRKIYA,0,9,45
KHURAI,4,14,57
KIRNAPUR,0,16,67
KOLARAS,1,12,51
KOTMA,4,12,43
KUKSHI,1,8,52
KUNDAM,0,19,57
KURAI,0,18,84
KURWAI,0,20,63
KUSAMI,1,14,70
LAHAR,1,13,76
LAKHNADON,13,12,114
LAL BURRA,0,12,97
LANJI,0,16,87
LATERI,0,16,88
LAUNDI,2,17,104
M. BARODIYA,6,19,90
MAHESHWAR,6,9,74
MAHIDPUR,1,20,84
MAIHAR,3,37,94
MAJHAULI,2,17,101
MAJHGWAN,0,31,69
MAJHOLI,0,19,52
MALHARGARH,0,15,106
MALTHON,1,12,44
MANASA,2,20,137
MANAVAR,1,13,76
MANDLA,1,15,136
MANDSAUR,1,25,149
MANPUR,3,27,100
MAUGANJ,0,7,18
MAWAI,2,14,42
MEGHNAGAR,1,18,87
MEHANDWANI,0,10,42
MEHGAON,3,19,119
MHOW,0,18,82
MOHGAON,3,7,35
MOHKHED,1,19,78
MORAR (RURAL),0,17,135
MORAR (URBAN-1),0,8,24
MORAR (URBAN-2),0,8,64
MORENA,9,25,165
MULTAI,0,14,98
MUNGAOLI,2,20,77
NAGOD,0,26,78
NAIGARHI,0,19,45
NAINPUR,2,13,101
NALCHHA,2,9,100
NALKHEDA,2,13,46
NARAYANGANJ,1,12,45
NARSINGHGARH,5,25,145
NARSINGHPUR,1,23,102
NARWAR,0,3,11
NATERAN,0,11,79
NEEMUCH,1,15,92
NISARPUR,0,5,52
NIWALI,0,14,63
NIWARI,4,17,72
NIWAS,1,8,49
NOWGONG,3,17,101
OBEDULLAGANJ,2,17,88
PAHARGARH,5,12,66
PALERA,0,10,62
PALI,0,11,49
PANAGAR,0,3,42
PANDHANA,3,18,88
PANDHURNA,0,8,60
PANNA,1,29,166
PANSEMAL,3,13,60
PARASIA,0,17,95
PARASWADA,0,15,64
PATAN,0,15,50
PATERA,1,8,64
PATHARIA,0,4,22
PATI,0,13,41
PAWAI,2,25,109
PETLAWAD,1,23,92
PHANDA RURAL,7,15,78
PHANDA URBAN NEW,6,9,34
PHANDA URBAN OLD,2,14,89
PICHHORE,2,15,55
PIPERIYA,3,16,90
PIPLODA,0,12,77
POHRI,0,14,65
PORSA,3,15,75
PRABHAT PATTAN,0,12,63
PRATHVIPUR,4,20,71
PUNASA,3,16,95
PUSHPRAJ GARH,1,32,80
RAGHOGARH,4,16,85
RAHATGARH,1,11,60
RAIPUR(K),0,14,45
RAJGARH,4,23,122
RAJNAGAR,1,20,145
RAJPUR,1,19,74
RAM NAGAR,1,24,28
RAMA,2,20,80
RAMPUR BAGHELAN,2,28,80
RAMPUR NAIKIN,0,19,107
RANAPUR,1,14,38
RATLAM,0,29,205
RAUN,3,13,56
REHLI,1,11,37
REWA,0,31,109
RITHI,0,11,59
SABALGARH,7,18,114
