SNo,Month,GradeGroup,District,TotalBlocks,TotalClusters,Monitors,Facilitators,Attendees,TotalParticipation
1,August,Grades 6-8,Agar Malwa,4,26,8,49,242,299
2,August,Grades 6-8,Alirajpur,6,59,15,96,340,451
3,August,Grades 6-8,Anuppur,4,45,14,89,279,382
4,August,Grades 6-8,Ashoknagar,4,33,14,74,347,435
5,August,Grades 6-8,Balaghat,10,77,1,146,802,949
6,August,Grades 6-8,Barwani,7,73,11,107,573,691
7,August,Grades 6-8,Betul,10,79,4,148,952,1104
8,August,Grades 6-8,Bhind,6,66,10,118,638,766
9,August,Grades 6-8,Bhopal,4,32,16,61,322,399
10,August,Grades 6-8,Burhanpur,2,20,2,32,147,181
11,August,Grades 6-8,Chhatarpur,8,74,18,114,721,853
12,August,Grades 6-8,Chhindwara,11,98,11,163,866,1040
13,August,Grades 6-8,Damoh,7,53,4,75,374,453
14,August,Grades 6-8,Datia,3,34,20,55,341,416
15,August,Grades 6-8,Dewas,1,1,0,0,1,1
16,August,Grades 6-8,Dhar,13,106,11,158,842,1011
17,August,Grades 6-8,Dindori,7,48,0,58,316,374
18,August,Grades 6-8,Guna,5,51,16,67,404,487
19,August,Grades 6-8,Gwalior,6,54,0,81,533,614
20,August,Grades 6-8,Harda,3,24,3,42,220,265
21,August,Grades 6-8,Indore,6,48,6,92,462,560
22,August,Grades 6-8,Jabalpur,9,62,8,103,412,523
23,August,Grades 6-8,Jhabua,6,63,5,117,487,609
24,August,Grades 6-8,Katni,6,51,6,81,436,523
25,August,Grades 6-8,Khandwa,7,43,16,83,424,523
26,August,Grades 6-8,Khargone,9,79,39,111,418,568
27,August,Grades 6-8,Mandla,9,67,11,112,638,761
28,August,Grades 6-8,Mandsaur,5,44,8,95,550,653
29,August,Grades 6-8,Morena,7,64,39,115,737,891
30,August,Grades 6-8,Narmadapuram,7,48,12,85,586,683
31,August,Grades 6-8,Narsinghpur,6,52,4,88,472,564
32,August,Grades 6-8,Neemuch,3,35,5,55,343,403
33,August,Grades 6-8,Niwari,2,19,8,38,146,192
34,August,Grades 6-8,Panna,5,63,11,127,621,759
35,August,Grades 6-8,Raisen,7,68,18,117,547,682
36,August,Grades 6-8,Rajgarh,6,72,11,115,653,779
37,August,Grades 6-8,Ratlam,6,61,5,125,776,906
38,August,Grades 6-8,Rewa,9,92,1,132,398,531
39,August,Grades 6-8,Sagar,11,77,15,123,485,623
40,August,Grades 6-8,Satna,8,97,10,211,561,782
41,August,Grades 6-8,Sehore,2,3,0,0,3,3
42,August,Grades 6-8,Seoni,8,80,29,117,692,838
43,August,Grades 6-8,Shahdol,5,56,11,97,321,429
44,August,Grades 6-8,Shajapur,4,37,13,71,385,469
45,August,Grades 6-8,Sheopur,3,29,24,56,235,315
46,August,Grades 6-8,Shivpuri,8,76,7,106,415,528
47,August,Grades 6-8,Sidhi,5,61,4,103,518,625
48,August,Grades 6-8,Singrauli,3,46,1,66,257,324
49,August,Grades 6-8,Tikamgarh,4,44,2,65,266,333
50,August,Grades 6-8,Ujjain,7,60,7,104,548,659
51,August,Grades 6-8,Umaria,3,31,3,73,260,336
52,August,Grades 6-8,Vidisha,7,70,1,125,614,740
