Program,District,ExpectedParticipants,FemaleAttendance,MaleAttendance,TotalActualAttendance,BAC_BRC_Count,Facilitators_Count
CLSS,Agar Malwa,341.0,65.0,255.0,320.0,,
CLSS,Alirajpur,400.0,127.0,284.0,411.0,,
CLSS,Anuppur,574.0,230.0,391.0,621.0,,
CLSS,Ashoknagar,453.0,98.0,332.0,430.0,,
CLSS,Balaghat,1486.0,544.0,796.0,1340.0,,
CLSS,Barwani,873.0,290.0,551.0,841.0,,
CLSS,Betul,1287.0,495.0,684.0,1179.0,,
CLSS,Bhind,829.0,276.0,632.0,908.0,,
CLSS,Bhopal,496.0,225.0,185.0,410.0,,
CLSS,Burhanpur,239.0,80.0,148.0,228.0,,
CLSS,Chhatarpur,999.0,193.0,638.0,831.0,,
CLSS,Chhindwara,1274.0,529.0,734.0,1263.0,,
CLSS,Damoh,573.0,166.0,374.0,540.0,,
CLSS,Datia,559.0,167.0,374.0,541.0,,
CLSS,Dhar,1171.0,446.0,761.0,1207.0,,
CLSS,Dindori,432.0,123.0,320.0,443.0,,
CLSS,Guna,493.0,126.0,343.0,469.0,,
CLSS,Gwalior,763.0,256.0,420.0,676.0,,
CLSS,Harda,259.0,103.0,165.0,268.0,,
CLSS,Indore,673.0,292.0,249.0,541.0,,
CLSS,Jabalpur,674.0,216.0,396.0,612.0,,
CLSS,Jhabua,711.0,231.0,421.0,652.0,,
CLSS,Katni,731.0,263.0,427.0,690.0,,
CLSS,Khandwa,708.0,244.0,381.0,625.0,,
CLSS,Khargone,658.0,233.0,431.0,664.0,,
CLSS,Mandla,940.0,366.0,560.0,926.0,,
CLSS,Mandsaur,746.0,194.0,513.0,707.0,,
CLSS,Morena,1128.0,213.0,832.0,1045.0,,
CLSS,Narmadapuram,745.0,292.0,395.0,687.0,,
CLSS,Narsinghpur,604.0,268.0,385.0,653.0,,
CLSS,Neemuch,478.0,120.0,336.0,456.0,,
CLSS,Niwari,208.0,54.0,152.0,206.0,,
CLSS,Panna,832.0,177.0,630.0,807.0,,
CLSS,Raisen,771.0,267.0,443.0,710.0,,
CLSS,Rajgarh,880.0,223.0,660.0,883.0,,
CLSS,Ratlam,1028.0,360.0,588.0,948.0,,
CLSS,Rewa,840.0,233.0,517.0,750.0,,
CLSS,Sagar,721.0,233.0,440.0,673.0,,
CLSS,Satna,989.0,254.0,686.0,940.0,,
CLSS,Seoni,1041.0,357.0,664.0,1021.0,,
CLSS,Shahdol,556.0,156.0,365.0,521.0,,
CLSS,Shajapur,570.0,188.0,370.0,558.0,,
CLSS,Sheopur,282.0,42.0,236.0,278.0,,
CLSS,Shivpuri,733.0,195.0,511.0,706.0,,
CLSS,Sidhi,816.0,220.0,599.0,819.0,,
CLSS,Singrauli,456.0,158.0,349.0,507.0,,
CLSS,Tikamgarh,489.0,136.0,324.0,460.0,,
CLSS,Ujjain,637.0,231.0,398.0,629.0,,
CLSS,Umaria,391.0,93.0,276.0,369.0,,
CLSS,Vidisha,837.0,273.0,580.0,853.0,,
CLSS,Grand Total,35374.0,11321.0,22501.0,33822.0,,
DO,Agar Malwa,,,,120.0,16.0,104.0
DO,Alirajpur,,,,236.0,8.0,228.0
DO,Ashoknagar,,,,0.0,0.0,0.0
DO,Balaghat,,,,145.0,5.0,140.0
DO,Barwani,,,,113.0,3.0,110.0
DO,Betul,,,,155.0,12.0,143.0
DO,Bhopal,,,,64.0,6.0,58.0
DO,Chhatarpur,,,,141.0,6.0,135.0
DO,Chhindwara,,,,526.0,27.0,499.0
DO,Damoh,,,,74.0,1.0,73.0
DO,Datia,,,,229.0,15.0,214.0
DO,Dhar,,,,460.0,60.0,400.0
DO,Guna,,,,281.0,7.0,274.0
DO,Gwalior,,,,106.0,8.0,98.0
DO,Indore,,,,189.0,6.0,183.0
DO,Jabalpur,,,,216.0,6.0,210.0
DO,Jhabua,,,,268.0,26.0,242.0
DO,Katni,,,,96.0,6.0,90.0
DO,Khargone,,,,398.0,2.0,396.0
DO,Mandla,,,,115.0,2.0,113.0
DO,Morena,,,,129.0,8.0,121.0
DO,Narmadapuram,,,,204.0,24.0,180.0
DO,Narsinghpur,,,,0.0,0.0,0.0
DO,Neemuch,,,,70.0,0.0,70.0
DO,Niwari,,,,35.0,2.0,33.0
DO,Panna,,,,200.0,14.0,186.0
DO,Ratlam,,,,121.0,5.0,116.0
DO,Rewa,,,,95.0,5.0,90.0
DO,Sagar,,,,128.0,0.0,128.0
DO,Satna,,,,245.0,6.0,239.0
DO,Seoni,,,,159.0,5.0,154.0
DO,Shajapur,,,,152.0,16.0,136.0
DO,Sheopur,,,,62.0,6.0,56.0
DO,Shivpuri,,,,153.0,8.0,145.0
DO,Tikamgarh,,,,243.0,6.0,237.0
DO,Umaria,,,,76.0,8.0,68.0
DO,Total,,,,6004.0,335.0,5669.0
