Program,Role,District,QuestionId,MetricName,CorrectCount,TotalRespondents,AccuracyPct
CLSS,Participant,Agar Malwa,82,82_Correct,173.0,239.0,72.38
CLSS,Participant,Alirajpur,82,82_Correct,206.0,339.0,60.77
CLSS,Participant,Anuppur,82,82_Correct,179.0,278.0,64.39
CLSS,Participant,Ashoknagar,82,82_Correct,197.0,347.0,56.77
CLSS,Participant,Balaghat,82,82_Correct,497.0,802.0,61.97
CLSS,Participant,Barwani,82,82_Correct,318.0,565.0,56.28
CLSS,Participant,Betul,82,82_Correct,653.0,951.0,68.66
CLSS,Participant,Bhind,82,82_Correct,364.0,637.0,57.14
CLSS,Participant,Bhopal,82,82_Correct,194.0,321.0,60.44
CLSS,Participant,Burhanpur,82,82_Correct,86.0,147.0,58.5
CLSS,Participant,Chhatarpur,82,82_Correct,440.0,720.0,61.11
CLSS,Participant,Chhindwara,82,82_Correct,654.0,863.0,75.78
CLSS,Participant,Damoh,82,82_Correct,202.0,374.0,54.01
CLSS,Participant,Datia,82,82_Correct,171.0,338.0,50.59
CLSS,Participant,Dewas,82,82_Correct,1.0,1.0,100.0
CLSS,Participant,Dhar,82,82_Correct,503.0,839.0,59.95
CLSS,Participant,Dindori,82,82_Correct,153.0,310.0,49.35
CLSS,Participant,Guna,82,82_Correct,239.0,404.0,59.16
CLSS,Participant,Gwalior,82,82_Correct,277.0,527.0,52.56
CLSS,Participant,Harda,82,82_Correct,145.0,220.0,65.91
CLSS,Participant,Indore,82,82_Correct,320.0,459.0,69.72
CLSS,Participant,Jabalpur,82,82_Correct,274.0,410.0,66.83
CLSS,Participant,Jhabua,82,82_Correct,296.0,478.0,61.92
CLSS,Participant,Katni,82,82_Correct,273.0,435.0,62.76
CLSS,Participant,Khandwa,82,82_Correct,278.0,423.0,65.72
CLSS,Participant,Khargone,82,82_Correct,258.0,416.0,62.02
CLSS,Participant,Mandla,82,82_Correct,402.0,624.0,64.42
CLSS,Participant,Mandsaur,82,82_Correct,425.0,550.0,77.27
CLSS,Participant,Morena,82,82_Correct,406.0,731.0,55.54
CLSS,Participant,Narmadapuram,82,82_Correct,435.0,585.0,74.36
CLSS,Participant,Narsinghpur,82,82_Correct,341.0,471.0,72.4
CLSS,Participant,Neemuch,82,82_Correct,229.0,340.0,67.35
CLSS,Participant,Niwari,82,82_Correct,72.0,143.0,50.35
CLSS,Participant,Panna,82,82_Correct,388.0,614.0,63.19
CLSS,Participant,Raisen,82,82_Correct,347.0,546.0,63.55
CLSS,Participant,Rajgarh,82,82_Correct,389.0,651.0,59.75
CLSS,Participant,Ratlam,82,82_Correct,475.0,760.0,62.5
CLSS,Participant,Rewa,82,82_Correct,244.0,397.0,61.46
CLSS,Participant,Sagar,82,82_Correct,285.0,479.0,59.5
CLSS,Participant,Satna,82,82_Correct,323.0,559.0,57.78
CLSS,Participant,Sehore,82,82_Correct,1.0,3.0,33.33
CLSS,Participant,Seoni,82,82_Correct,426.0,687.0,62.01
CLSS,Participant,Shahdol,82,82_Correct,190.0,321.0,59.19
CLSS,Participant,Shajapur,82,82_Correct,286.0,385.0,74.29
CLSS,Participant,Sheopur,82,82_Correct,142.0,234.0,60.68
CLSS,Participant,Shivpuri,82,82_Correct,223.0,412.0,54.13
CLSS,Participant,Sidhi,82,82_Correct,294.0,517.0,56.87
CLSS,Participant,Singrauli,82,82_Correct,125.0,251.0,49.8
CLSS,Participant,Tikamgarh,82,82_Correct,142.0,266.0,53.38
CLSS,Participant,Ujjain,82,82_Correct,345.0,548.0,62.96
CLSS,Participant,Umaria,82,82_Correct,125.0,256.0,48.83
CLSS,Participant,Vidisha,82,82_Correct,436.0,612.0,71.24
CLSS,Participant,Total,82,82_Correct,14847.0,23785.0,62.42
CLSS,Participant,Agar Malwa,84,84_Correct,224.0,239.0,93.72
CLSS,Participant,Alirajpur,84,84_Correct,309.0,339.0,91.15
CLSS,Participant,Anuppur,84,84_Correct,219.0,278.0,78.78
CLSS,Participant,Ashoknagar,84,84_Correct,308.0,347.0,88.76
CLSS,Participant,Balaghat,84,84_Correct,713.0,802.0,88.9
CLSS,Participant,Barwani,84,84_Correct,486.0,565.0,86.02
CLSS,Participant,Betul,84,84_Correct,856.0,951.0,90.01
CLSS,Participant,Bhind,84,84_Correct,537.0,637.0,84.3
CLSS,Participant,Bhopal,84,84_Correct,274.0,321.0,85.36
CLSS,Participant,Burhanpur,84,84_Correct,129.0,147.0,87.76
CLSS,Participant,Chhatarpur,84,84_Correct,640.0,720.0,88.89
CLSS,Participant,Chhindwara,84,84_Correct,806.0,863.0,93.4
CLSS,Participant,Damoh,84,84_Correct,332.0,374.0,88.77
CLSS,Participant,Datia,84,84_Correct,296.0,338.0,87.57
CLSS,Participant,Dewas,84,84_Correct,1.0,1.0,100.0
CLSS,Participant,Dhar,84,84_Correct,665.0,839.0,79.26
CLSS,Participant,Dindori,84,84_Correct,210.0,310.0,67.74
CLSS,Participant,Guna,84,84_Correct,377.0,404.0,93.32
CLSS,Participant,Gwalior,84,84_Correct,463.0,527.0,87.86
CLSS,Participant,Harda,84,84_Correct,211.0,220.0,95.91
CLSS,Participant,Indore,84,84_Correct,417.0,459.0,90.85
CLSS,Participant,Jabalpur,84,84_Correct,368.0,410.0,89.76
CLSS,Participant,Jhabua,84,84_Correct,421.0,478.0,88.08
CLSS,Participant,Katni,84,84_Correct,398.0,435.0,91.49
CLSS,Participant,Khandwa,84,84_Correct,369.0,423.0,87.23
CLSS,Participant,Khargone,84,84_Correct,347.0,416.0,83.41
CLSS,Participant,Mandla,84,84_Correct,552.0,624.0,88.46
CLSS,Participant,Mandsaur,84,84_Correct,503.0,550.0,91.45
CLSS,Participant,Morena,84,84_Correct,640.0,731.0,87.55
CLSS,Participant,Narmadapuram,84,84_Correct,538.0,585.0,91.97
CLSS,Participant,Narsinghpur,84,84_Correct,439.0,471.0,93.21
CLSS,Participant,Neemuch,84,84_Correct,301.0,340.0,88.53
