Program,Role,District,Sheet,MetricCode,ResponseCount,TotalDistrictRespondents,ResponseRatePct
CLSS,Observer,Agar Malwa,Q55,55_Correct,7.0,8.0,87.5
CLSS,Observer,Alirajpur,Q55,55_Correct,12.0,15.0,80.0
CLSS,Observer,Anuppur,Q55,55_Correct,12.0,14.0,85.71
CLSS,Observer,Ashoknagar,Q55,55_Correct,5.0,14.0,35.71
CLSS,Observer,Balaghat,Q55,55_Correct,1.0,1.0,100.0
CLSS,Observer,Barwani,Q55,55_Correct,8.0,9.0,88.89
CLSS,Observer,Betul,Q55,55_Correct,4.0,4.0,100.0
CLSS,Observer,Bhind,Q55,55_Correct,8.0,10.0,80.0
CLSS,Observer,Bhopal,Q55,55_Correct,15.0,16.0,93.75
CLSS,Observer,Burhanpur,Q55,55_Correct,2.0,2.0,100.0
CLSS,Observer,Chhatarpur,Q55,55_Correct,14.0,18.0,77.78
CLSS,Observer,Chhindwara,Q55,55_Correct,8.0,11.0,72.73
CLSS,Observer,Damoh,Q55,55_Correct,4.0,4.0,100.0
CLSS,Observer,Datia,Q55,55_Correct,15.0,20.0,75.0
CLSS,Observer,Dhar,Q55,55_Correct,11.0,11.0,100.0
CLSS,Observer,Guna,Q55,55_Correct,10.0,16.0,62.5
CLSS,Observer,Harda,Q55,55_Correct,3.0,3.0,100.0
CLSS,Observer,Indore,Q55,55_Correct,3.0,6.0,50.0
CLSS,Observer,Jabalpur,Q55,55_Correct,7.0,8.0,87.5
CLSS,Observer,Jhabua,Q55,55_Correct,5.0,5.0,100.0
CLSS,Observer,Katni,Q55,55_Correct,6.0,6.0,100.0
CLSS,Observer,Khandwa,Q55,55_Correct,9.0,16.0,56.25
CLSS,Observer,Khargone,Q55,55_Correct,30.0,39.0,76.92
CLSS,Observer,Mandla,Q55,55_Correct,10.0,11.0,90.91
CLSS,Observer,Mandsaur,Q55,55_Correct,7.0,8.0,87.5
CLSS,Observer,Morena,Q55,55_Correct,29.0,39.0,74.36
CLSS,Observer,Narmadapuram,Q55,55_Correct,11.0,12.0,91.67
CLSS,Observer,Narsinghpur,Q55,55_Correct,4.0,4.0,100.0
CLSS,Observer,Neemuch,Q55,55_Correct,3.0,5.0,60.0
CLSS,Observer,Niwari,Q55,55_Correct,6.0,8.0,75.0
CLSS,Observer,Panna,Q55,55_Correct,9.0,11.0,81.82
CLSS,Observer,Raisen,Q55,55_Correct,14.0,18.0,77.78
CLSS,Observer,Rajgarh,Q55,55_Correct,10.0,11.0,90.91
CLSS,Observer,Ratlam,Q55,55_Correct,3.0,5.0,60.0
CLSS,Observer,Rewa,Q55,55_Correct,1.0,1.0,100.0
CLSS,Observer,Sagar,Q55,55_Correct,12.0,15.0,80.0
CLSS,Observer,Satna,Q55,55_Correct,10.0,10.0,100.0
CLSS,Observer,Seoni,Q55,55_Correct,25.0,29.0,86.21
CLSS,Observer,Shahdol,Q55,55_Correct,10.0,11.0,90.91
CLSS,Observer,Shajapur,Q55,55_Correct,13.0,13.0,100.0
CLSS,Observer,Sheopur,Q55,55_Correct,15.0,24.0,62.5
CLSS,Observer,Shivpuri,Q55,55_Correct,4.0,7.0,57.14
CLSS,Observer,Sidhi,Q55,55_Correct,4.0,4.0,100.0
CLSS,Observer,Singrauli,Q55,55_Correct,1.0,1.0,100.0
CLSS,Observer,Tikamgarh,Q55,55_Correct,2.0,2.0,100.0
CLSS,Observer,Ujjain,Q55,55_Correct,4.0,7.0,57.14
CLSS,Observer,Umaria,Q55,55_Correct,2.0,3.0,66.67
CLSS,Observer,Vidisha,Q55,55_Correct,1.0,1.0,100.0
CLSS,Observer,Total,Q55,55_Correct,409.0,516.0,79.26
CLSS,Observer,Agar Malwa,Q56,56.1,8.0,8.0,100.0
CLSS,Observer,Agar Malwa,Q56,56.2,8.0,8.0,100.0
CLSS,Observer,Agar Malwa,Q56,56.3,8.0,8.0,100.0
CLSS,Observer,Agar Malwa,Q56,56.4,8.0,8.0,100.0
